file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,reg_eq_similarity,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max,jaccard_similarity_with_ends,containment_AB_with_ends,containment_BA_with_ends,cosketch_geom_with_ends,cosketch_arith_with_ends,cosketch_max_with_ends
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,minimizer,D,24,NA,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR864OOO_H3K27ac.fa,minimizer,D,24,NA,10,10,0.8985303984261579,0.9131537159996992,0.9826253403573333,0.9472528601079904,0.9478895281785162,0.9826253403573333,0.5578724272661953,0.6427389113462759,0.8020239766801037,0.7179777278195897,0.7223814440131898,0.8020239766801037
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR954JMZ_H3K27ac.fa,minimizer,D,24,NA,10,10,0.926793212625654,0.9540239056583042,0.9701968681430981,0.9620764031007794,0.9621103869007012,0.9701968681430981,0.6164649696484612,0.7408722955360414,0.7809782467254158,0.7606609930942769,0.7609252711307286,0.7809782467254158
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/GRCh37/ENCSR175ABH_H3K27ac.fa,minimizer,D,24,NA,10,10,0.9934590566907359,0.9961880889167521,0.9972564966155989,0.9967221496100651,0.9967222927661755,0.9972564966155989,0.687272029379422,0.8133218812363682,0.8122643841416151,0.8127929607048515,0.8127931326889917,0.8133218812363682
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/GRCh37/ENCSR864OOO_H3K27ac.fa,minimizer,D,24,NA,10,10,0.8918638974678069,0.9055175075547433,0.9835047730725522,0.9437058815016736,0.9445111403136477,0.9835047730725522,0.5499846502822643,0.6317469577086768,0.8027467231579044,0.712132572043728,0.7172468404332906,0.8027467231579044
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/GRCh37/ENCSR954JMZ_H3K27ac.fa,minimizer,D,24,NA,10,10,0.9238984563018721,0.9494579067894835,0.9717543426165739,0.9605414327629614,0.9606061247030286,0.9717543426165739,0.6113437834088806,0.7307789896835152,0.783776192550519,0.7568138305620877,0.7572775911170171,0.783776192550519
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/GRCh38/ENCSR175ABH_H3K27ac.fa,minimizer,D,24,NA,10,10,0.9939120648662767,0.9966073113038517,0.997292511669343,0.9969498526196034,0.9969499114865974,0.997292511669343,0.6869796024887946,0.8144127031447066,0.8107557747544608,0.8125821817563816,0.8125842389495836,0.8144127031447066
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/GRCh38/ENCSR864OOO_H3K27ac.fa,minimizer,D,24,NA,10,10,0.8943083264758193,0.9084475716697518,0.9829992502992002,0.9449885088653168,0.945723410984476,0.9829992502992002,0.5532602166661696,0.6360210794140151,0.8027474347869371,0.7145378156333081,0.719384257100476,0.8027474347869371
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/GRCh38/ENCSR954JMZ_H3K27ac.fa,minimizer,D,24,NA,10,10,0.9248176085074812,0.9507924028414508,0.971372600840037,0.9610274133483645,0.9610825018407438,0.971372600840037,0.612333510020413,0.7325763119529412,0.7834540806032396,0.7575882133143331,0.7580151962780903,0.7834540806032396
/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR864OOO_H3K27ac.fa,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/fastas/narrow/CHM13/ENCSR175ABH_H3K27ac.fa,minimizer,D,24,NA,10,10,0.8985303984261579,0.9826253403573333,0.9131537159996992,0.9472528601079904,0.9478895281785162,0.9826253403573333,0.5578724272661953,0.8020239766801037,0.6427389113462759,0.7179777278195897,0.7223814440131898,0.8020239766801037
