num_files,rep,tool,similarity,subB,num_pairs,num_intervals_per_file,precision,threads,corpus_seed,wall_time,cpu_time,max_rss_mb,sort_time,sketch_creation_time,comparison_time,pair_time,write_time,bedtools_serial_ms,bedtools_parallel_eff,mae_vs_bedtools,max_err_vs_bedtools,hostname,cpu_model,git_sha,slurm_job_id
2,0,bedtools,exact,,4,10000,18,16,20260810,0.5047566890716553,0.44443699999999997,31.95703125,0.15507102012634277,,,,,10.990619659423828,0.005443523531920742,0.0,0.0,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,register-equality,1.0,4,10000,18,16,20260810,0.23767995834350586,3.401094,9.10546875,0.15507102012634277,0.230369,0.000322,0.0003,2.2e-05,,,0.16323464813232424,0.16435920458984377,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,register-equality,0.1,4,10000,18,16,20260810,0.09211134910583496,1.2642670000000003,9.10546875,0.15507102012634277,0.084458,0.000308,0.000293,1.5e-05,,,0.1636552185058594,0.1644305888671875,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,register-equality,0.01,4,10000,18,16,20260810,0.04889225959777832,0.5904299999999995,9.16015625,0.15507102012634277,0.040544,0.000412,0.000394,1.7e-05,,,0.14249794266990934,0.14330594471764563,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,register-equality,0.001,4,10000,18,16,20260810,0.037027835845947266,0.4162610000000001,9.16015625,0.15507102012634277,0.028662,0.000909,0.000895,1.4e-05,,,0.024605961295546205,0.025463330838896223,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,inclusion-exclusion,1.0,4,10000,18,16,20260810,0.23844552040100098,3.407758000000001,9.11328125,0.15507102012634277,0.230122,0.001062,0.001041,2e-05,,,0.0016593419473305351,0.003139055520431727,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,inclusion-exclusion,0.1,4,10000,18,16,20260810,0.09279823303222656,1.274659,9.12109375,0.15507102012634277,0.084347,0.000974,0.000958,1.5e-05,,,0.0013684641531018227,0.0033805839492825063,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,inclusion-exclusion,0.01,4,10000,18,16,20260810,0.04897475242614746,0.5990969999999991,9.13671875,0.15507102012634277,0.040678,0.001062,0.001047,1.5e-05,,,0.0013473898311514437,0.002732176232627781,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,0,hammock,inclusion-exclusion,0.001,4,10000,18,16,20260810,0.03832840919494629,0.4310289999999991,9.12109375,0.15507102012634277,0.028872,0.001695,0.001679,1.5e-05,,,0.0008592303650540797,0.0022821064028388655,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,1,bedtools,exact,,4,10000,18,16,20260810,0.12746429443359375,0.17362199999999928,18.9609375,0.1079416275024414,,,,,10.933399200439453,0.021444042916142936,0.0,0.0,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,1,hammock,register-equality,1.0,4,10000,18,16,20260810,0.23687458038330078,3.4003050000000017,9.10546875,0.1079416275024414,0.229184,0.000312,0.000291,2e-05,,,0.16400045043945313,0.16486954370117188,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,1,hammock,register-equality,0.1,4,10000,18,16,20260810,0.0925912857055664,1.2676329999999978,9.12890625,0.1079416275024414,0.08466,0.000319,0.000303,1.5e-05,,,0.1643018115234375,0.16511586328125,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
2,1,hammock,register-equality,0.01,4,10000,18,16,20260810,0.0486297607421875,0.5910580000000011,9.15234375,0.1079416275024414,0.040617,0.000396,0.000382,1.4e-05,,,0.14271073054385044,0.14427647399709928,c573,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,ec2d14a-dirty,30328362
