num_files,num_pairs,tool,similarity,subB,n_reps,num_intervals_per_file,precision,threads,mean_wall_time,median_wall_time,sd_wall_time,mean_cpu_time,median_cpu_time,sd_cpu_time,mean_max_rss_mb,median_max_rss_mb,sd_max_rss_mb,mean_sketch_creation_time,median_sketch_creation_time,sd_sketch_creation_time,mean_comparison_time,median_comparison_time,sd_comparison_time,mean_pair_time,median_pair_time,sd_pair_time,mean_write_time,median_write_time,sd_write_time,mean_mae_vs_bedtools,median_mae_vs_bedtools,sd_mae_vs_bedtools,mean_max_err_vs_bedtools,median_max_err_vs_bedtools,sd_max_err_vs_bedtools
2,4,bedtools,exact,,20,10000,18,16,0.1402072787284851,0.1206352710723877,0.08584197019185909,0.18625110000000197,0.17323099999999714,0.06081656709007002,19.60234375,18.953125,2.908004077691727,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,4,hammock,inclusion-exclusion,0.001,20,10000,18,16,0.038196909427642825,0.03816699981689453,0.00031424348917422426,0.431386099999997,0.43125150000000145,0.0013547645707295314,9.137890625,9.13671875,0.013478126696980869,0.02891355,0.0289245,0.0001173368856619353,0.00170925,0.001722,3.0213059218960627e-05,0.0016937,0.001706,3.0044002816921015e-05,1.51e-05,1.5e-05,4.4721359549995766e-07,0.0009415657259307208,0.0009592156898722629,0.000448745426053424,0.0017715105720324553,0.001978325854756227,0.0008642334068605486
2,4,hammock,inclusion-exclusion,0.01,20,10000,18,16,0.04939258098602295,0.04934084415435791,0.0003913476473727741,0.6022548000000014,0.6020879999999936,0.002094974804522191,9.135546875,9.13671875,0.0146213428147772,0.0407569,0.040707,0.00015436828826236544,0.00106545,0.0010595000000000001,4.4637103990196106e-05,0.0010496,0.001044,4.462286409454239e-05,1.54e-05,1.5e-05,6.805570473787202e-07,0.0011013931071727403,0.0011915576652228015,0.00043726930585475207,0.0020904659390382275,0.0020829552359121067,0.0007972824044413605
2,4,hammock,inclusion-exclusion,0.1,20,10000,18,16,0.09325333833694457,0.09329736232757568,0.0003857633415787366,1.2796039499999978,1.278739999999999,0.0037432660025447737,9.125,9.12109375,0.012546172946046347,0.08459885,0.08456,0.00022147241125559575,0.0009957,0.000975,4.317662623030634e-05,0.00097995,0.0009595000000000001,4.2595372864592745e-05,1.52e-05,1.5e-05,1.105012502906165e-06,0.0014166066112581723,0.0013776864877306332,0.000498586445131279,0.0023456952908983628,0.002398144012138545,0.0007079565005533423
2,4,hammock,inclusion-exclusion,1.0,20,10000,18,16,0.23852620124816895,0.23847663402557373,0.0012997865744665857,3.4086090000000016,3.4085029999999987,0.00891711998585354,9.1234375,9.12109375,0.016640518825334617,0.22980365,0.2299295,0.0012051112757094692,0.0010225,0.0010265,3.7560477548670895e-05,0.00100185,0.0010065,3.6649513531631824e-05,2.025e-05,1.95e-05,2.2213082915965957e-06,0.0013089925714130117,0.0013614203147471401,0.0004979744992224831,0.00262516624563689,0.0028504812805089444,0.0009779710024295975
2,4,hammock,register-equality,0.001,20,10000,18,16,0.0374226450920105,0.03741645812988281,0.0003395797480219937,0.4181853499999975,0.4180375000000046,0.0015606980312503304,9.130078125,9.12890625,0.01628440026599157,0.028905300000000002,0.0289405,0.00011317294636737956,0.00087905,0.0008775,3.7615051578632165e-05,0.0008639,0.0008619999999999999,3.761144842506838e-05,1.49e-05,1.5e-05,1.1652874052533588e-06,0.02485590494655822,0.024785516976708555,0.00042131590958908375,0.025615597164772897,0.02563655455412632,0.0005802246330478545
2,4,hammock,register-equality,0.01,20,10000,18,16,0.04876995086669922,0.04875075817108154,0.00034954718637943084,0.5918701000000017,0.5919485000000075,0.0016702857272102767,9.128515625,9.12890625,0.014882653313660345,0.04070655,0.040681499999999995,0.0001303030778810049,0.000406,0.000405,1.7897368227582633e-05,0.0003903,0.0003895,1.6764938350460366e-05,1.53e-05,1.5e-05,1.3018205875255096e-06,0.14333984788617937,0.14332410443015775,0.0005356859878727541,0.14415698040254812,0.14420965733961777,0.0005997933562081502
2,4,hammock,register-equality,0.1,20,10000,18,16,0.09260812997817994,0.09258270263671875,0.00040721421844848714,1.268966549999999,1.2680984999999954,0.0034573262330292393,9.1265625,9.125,0.016249841851457152,0.0846378,0.0846665,0.00022250194558581682,0.0003111,0.000313,1.2510627061569858e-05,0.000296,0.000299,1.155763589011269e-05,1.45e-05,1.5e-05,1.147078669352809e-06,0.1641284561767578,0.164227115814209,0.0003545254076626254,0.16500754216308594,0.16496582482910155,0.000643206174824046
2,4,hammock,register-equality,1.0,20,10000,18,16,0.23769315481185913,0.2377079725265503,0.001169154794517288,3.397185950000004,3.3982970000000092,0.008873533470977761,9.123828125,9.11328125,0.019514795700533293,0.22972979999999998,0.22977799999999998,0.00120366626778793,0.00032045,0.000314,2.424974226667162e-05,0.0002997,0.00029350000000000003,2.282219602884323e-05,2.04e-05,2e-05,2.1860803664140647e-06,0.16386466986083986,0.1637958589477539,0.0005463587120566896,0.16475598529052735,0.16470304541015623,0.0006003950117561191
4,16,bedtools,exact,,20,10000,18,16,0.1628948450088501,0.16289031505584717,0.002917882528154222,0.3960709999999924,0.39574999999998317,0.003870579366399344,19.00703125,19.005859375,0.00855816496101822,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
